년도,위반유형,지자체,발생건수,사망자수
2018,교차로운행방법위반,구로구,1.0,0.0
2018,기타,용산구,1.0,0.0
2018,불법유턴,서초구,1.0,0.0
2018,불법유턴,영등포구,1.0,0.0
2018,신호위반,관악구,1.0,0.0
2018,신호위반,광진구,1.0,0.0
2018,신호위반,구로구,1.0,0.0
2018,신호위반,동대문구,2.0,0.0
2018,신호위반,성동구,1.0,0.0
2018,신호위반,성북구,1.0,0.0
2018,안전거리미확보,동대문구,1.0,0.0
2018,안전운전불이행,강남구,2.0,0.0
2018,안전운전불이행,강동구,2.0,0.0
2018,안전운전불이행,강북구,1.0,0.0
2018,안전운전불이행,강서구,2.0,0.0
2018,안전운전불이행,광진구,3.0,0.0
2018,안전운전불이행,구로구,2.0,0.0
2018,안전운전불이행,노원구,1.0,0.0
2018,안전운전불이행,도봉구,1.0,0.0
2018,안전운전불이행,동대문구,2.0,0.0
2018,안전운전불이행,동작구,1.0,0.0
2018,안전운전불이행,마포구,2.0,0.0
2018,안전운전불이행,성동구,1.0,0.0
2018,안전운전불이행,성북구,1.0,0.0
2018,안전운전불이행,영등포구,2.0,0.0
2018,안전운전불이행,용산구,1.0,0.0
2018,안전운전불이행,은평구,2.0,0.0
2018,안전운전불이행,종로구,2.0,0.0
2018,안전운전불이행,중랑구,4.0,0.0
2018,중앙선침범,강남구,1.0,0.0
2018,중앙선침범,성북구,1.0,0.0
2019,교차로운행방법위반,강남구,1.0,0.0
2019,교차로운행방법위반,서대문구,1.0,0.0
2019,교차로운행방법위반,서초구,1.0,0.0
2019,교차로운행방법위반,은평구,2.0,0.0
2019,교차로운행방법위반,중랑구,1.0,0.0
2019,기타,종로구,1.0,0.0
2019,보행자보호의무위반,강남구,1.0,0.0
2019,보행자보호의무위반,강서구,1.0,0.0
2019,보행자보호의무위반,서초구,1.0,0.0
2019,불법유턴,강남구,3.0,0.0
2019,신호위반,강남구,1.0,0.0
2019,신호위반,강서구,1.0,0.0
2019,신호위반,광진구,4.0,0.0
2019,신호위반,구로구,1.0,0.0
2019,신호위반,노원구,1.0,0.0
2019,신호위반,동대문구,1.0,0.0
2019,신호위반,성동구,1.0,0.0
2019,신호위반,영등포구,2.0,0.0
2019,신호위반,은평구,1.0,0.0
2019,안전거리미확보,강남구,1.0,0.0
2019,안전거리미확보,성북구,1.0,0.0
2019,안전거리미확보,양천구,1.0,0.0
2019,안전운전불이행,강남구,17.0,0.0
2019,안전운전불이행,강동구,2.0,0.0
2019,안전운전불이행,강서구,2.0,0.0
2019,안전운전불이행,관악구,2.0,0.0
2019,안전운전불이행,광진구,10.0,0.0
2019,안전운전불이행,구로구,1.0,0.0
2019,안전운전불이행,노원구,1.0,0.0
2019,안전운전불이행,도봉구,3.0,0.0
2019,안전운전불이행,동대문구,2.0,0.0
2019,안전운전불이행,동작구,1.0,0.0
2019,안전운전불이행,마포구,4.0,1.0
2019,안전운전불이행,서대문구,2.0,0.0
2019,안전운전불이행,서초구,10.0,0.0
2019,안전운전불이행,성동구,1.0,0.0
2019,안전운전불이행,성북구,1.0,0.0
2019,안전운전불이행,송파구,4.0,0.0
2019,안전운전불이행,양천구,1.0,0.0
2019,안전운전불이행,영등포구,3.0,0.0
2019,안전운전불이행,용산구,1.0,0.0
2019,안전운전불이행,은평구,4.0,0.0
2019,안전운전불이행,중구,2.0,0.0
2019,안전운전불이행,중랑구,3.0,0.0
2019,중앙선침범,강남구,1.0,0.0
2019,중앙선침범,노원구,1.0,0.0
2019,중앙선침범,서초구,2.0,0.0
2020,교차로운행방법위반,강남구,2.0,0.0
2020,교차로운행방법위반,관악구,1.0,0.0
2020,교차로운행방법위반,동작구,1.0,0.0
2020,교차로운행방법위반,성동구,2.0,0.0
2020,교차로운행방법위반,은평구,1.0,0.0
2020,기타,용산구,2.0,0.0
2020,보행자보호의무위반,강동구,1.0,0.0
2020,보행자보호의무위반,강서구,1.0,0.0
