,년도,시도,지자체,위반유형,차량종류,발생건수,대형사고,중대사고-여객,중대사고-화물,사망자수,치사율(%)
0,2018,서울,강동구,중앙선침범,승용,22.0,0.0,0,0,0.0,0.0
1,2018,서울,강동구,중앙선침범,승합,1.0,0.0,0,0,0.0,0.0
2,2018,서울,강동구,중앙선침범,화물,4.0,0.0,0,0,0.0,0.0
3,2018,서울,강동구,중앙선침범,이륜,3.0,0.0,0,0,0.0,0.0
4,2018,서울,강동구,중앙선침범,자전거,4.0,0.0,0,0,0.0,0.0
5,2018,서울,강동구,중앙선침범,기타,1.0,0.0,0,0,0.0,0.0
6,2018,서울,강동구,신호위반,승용,90.0,0.0,0,0,0.0,0.0
7,2018,서울,강동구,신호위반,승합,16.0,0.0,0,0,0.0,0.0
8,2018,서울,강동구,신호위반,화물,15.0,0.0,0,1,0.0,0.0
9,2018,서울,강동구,신호위반,이륜,19.0,0.0,0,0,0.0,0.0
10,2018,서울,강동구,신호위반,원동기,7.0,0.0,0,0,0.0,0.0
11,2018,서울,강동구,신호위반,자전거,2.0,0.0,0,0,0.0,0.0
12,2018,서울,강동구,신호위반,건설기계,2.0,0.0,0,0,0.0,0.0
13,2018,서울,강동구,안전거리미확보,승용,109.0,0.0,0,0,0.0,0.0
14,2018,서울,강동구,안전거리미확보,승합,8.0,0.0,0,0,0.0,0.0
15,2018,서울,강동구,안전거리미확보,화물,12.0,0.0,0,0,0.0,0.0
16,2018,서울,강동구,안전거리미확보,특수,1.0,0.0,0,0,0.0,0.0
17,2018,서울,강동구,안전거리미확보,이륜,6.0,0.0,0,0,0.0,0.0
18,2018,서울,강동구,안전거리미확보,원동기,2.0,0.0,0,0,0.0,0.0
19,2018,서울,강동구,안전거리미확보,자전거,4.0,0.0,0,0,0.0,0.0
20,2018,서울,강동구,안전거리미확보,건설기계,5.0,0.0,0,0,0.0,0.0
21,2018,서울,강동구,안전거리미확보,기타,5.0,0.0,0,0,0.0,0.0
22,2018,서울,강동구,불법유턴,승용,5.0,0.0,0,0,0.0,0.0
23,2018,서울,강동구,불법유턴,승합,1.0,0.0,0,0,0.0,0.0
24,2018,서울,강동구,불법유턴,이륜,2.0,0.0,0,0,0.0,0.0
25,2018,서울,강동구,불법유턴,자전거,1.0,0.0,0,0,0.0,0.0
26,2018,서울,강동구,불법유턴,기타,1.0,0.0,0,0,0.0,0.0
27,2018,서울,강동구,과속,승용,2.0,0.0,0,0,0.0,0.0
28,2018,서울,강동구,안전운전불이행,승용,542.0,0.0,0,0,5.0,0.92
29,2018,서울,강동구,안전운전불이행,승합,62.0,0.0,0,0,1.0,1.61
30,2018,서울,강동구,안전운전불이행,화물,74.0,0.0,0,5,1.0,1.35
31,2018,서울,강동구,안전운전불이행,특수,5.0,0.0,0,0,0.0,0.0
32,2018,서울,강동구,안전운전불이행,이륜,49.0,0.0,0,0,0.0,0.0
33,2018,서울,강동구,안전운전불이행,원동기,12.0,0.0,0,0,0.0,0.0
34,2018,서울,강동구,안전운전불이행,자전거,45.0,0.0,0,0,0.0,0.0
35,2018,서울,강동구,안전운전불이행,건설기계,5.0,0.0,0,0,2.0,40.0
36,2018,서울,강동구,안전운전불이행,개인형이동수단(PM),2.0,0.0,0,0,0.0,0.0
37,2018,서울,강동구,안전운전불이행,기타,41.0,0.0,0,0,0.0,0.0
38,2018,서울,강동구,교차로운행방법위반,승용,51.0,0.0,0,0,0.0,0.0
39,2018,서울,강동구,교차로운행방법위반,승합,1.0,0.0,0,0,0.0,0.0
40,2018,서울,강동구,교차로운행방법위반,화물,8.0,0.0,0,0,0.0,0.0
41,2018,서울,강동구,교차로운행방법위반,특수,1.0,0.0,0,0,0.0,0.0
42,2018,서울,강동구,교차로운행방법위반,이륜,7.0,0.0,0,0,0.0,0.0
43,2018,서울,강동구,교차로운행방법위반,원동기,2.0,0.0,0,0,0.0,0.0
44,2018,서울,강동구,교차로운행방법위반,자전거,3.0,0.0,0,0,0.0,0.0
45,2018,서울,강동구,교차로운행방법위반,기타,1.0,0.0,0,0,0.0,0.0
46,2018,서울,강동구,보행자보호의무위반,승용,48.0,0.0,0,0,2.0,4.17
47,2018,서울,강동구,보행자보호의무위반,승합,2.0,0.0,0,0,0.0,0.0
48,2018,서울,강동구,보행자보호의무위반,화물,11.0,0.0,0,1,0.0,0.0
49,2018,서울,강동구,보행자보호의무위반,이륜,3.0,0.0,0,0,0.0,0.0
50,2018,서울,강동구,보행자보호의무위반,원동기,1.0,0.0,0,0,0.0,0.0
51,2018,서울,강동구,보행자보호의무위반,기타,3.0,0.0,0,0,0.0,0.0
52,2018,서울,강동구,차로위반,승용,15.0,0.0,0,0,0.0,0.0
53,2018,서울,강동구,차로위반,승합,4.0,0.0,0,0,0.0,0.0
54,2018,서울,강동구,차로위반,화물,3.0,0.0,0,1,0.0,0.0
55,2018,서울,동대문구,중앙선침범,승용,20.0,0.0,0,0,0.0,0.0
56,2018,서울,동대문구,중앙선침범,승합,1.0,0.0,0,0,0.0,0.0
57,2018,서울,동대문구,중앙선침범,화물,8.0,0.0,0,1,1.0,12.5
58,2018,서울,동대문구,중앙선침범,이륜,6.0,0.0,0,0,0.0,0.0
59,2018,서울,동대문구,중앙선침범,원동기,3.0,0.0,0,0,0.0,0.0
60,2018,서울,동대문구,중앙선침범,자전거,10.0,0.0,0,0,0.0,0.0
61,2018,서울,동대문구,중앙선침범,기타,1.0,0.0,0,0,0.0,0.0
62,2018,서울,동대문구,신호위반,승용,112.0,0.0,0,0,0.0,0.0
63,2018,서울,동대문구,신호위반,승합,10.0,0.0,0,0,0.0,0.0
64,2018,서울,동대문구,신호위반,화물,10.0,0.0,0,1,0.0,0.0
65,2018,서울,동대문구,신호위반,이륜,55.0,0.0,0,0,0.0,0.0
66,2018,서울,동대문구,신호위반,원동기,16.0,0.0,0,0,0.0,0.0
67,2018,서울,동대문구,신호위반,자전거,7.0,0.0,0,0,0.0,0.0
68,2018,서울,동대문구,신호위반,건설기계,1.0,0.0,0,0,0.0,0.0
69,2018,서울,동대문구,신호위반,개인형이동수단(PM),2.0,0.0,0,0,0.0,0.0
70,2018,서울,동대문구,신호위반,기타,4.0,0.0,0,0,0.0,0.0
71,2018,서울,동대문구,안전거리미확보,승용,172.0,0.0,0,0,0.0,0.0
72,2018,서울,동대문구,안전거리미확보,승합,8.0,0.0,0,0,0.0,0.0
73,2018,서울,동대문구,안전거리미확보,화물,16.0,0.0,0,1,0.0,0.0
74,2018,서울,동대문구,안전거리미확보,이륜,15.0,0.0,0,0,0.0,0.0
75,2018,서울,동대문구,안전거리미확보,원동기,4.0,0.0,0,0,0.0,0.0
76,2018,서울,동대문구,안전거리미확보,자전거,5.0,0.0,0,0,1.0,20.0
77,2018,서울,동대문구,안전거리미확보,건설기계,1.0,0.0,0,0,0.0,0.0
78,2018,서울,동대문구,안전거리미확보,개인형이동수단(PM),1.0,0.0,0,0,0.0,0.0
79,2018,서울,동대문구,안전거리미확보,기타,3.0,0.0,0,0,0.0,0.0
80,2018,서울,동대문구,불법유턴,승용,4.0,0.0,0,0,0.0,0.0
81,2018,서울,동대문구,불법유턴,화물,1.0,0.0,0,0,0.0,0.0
82,2018,서울,동대문구,불법유턴,이륜,3.0,0.0,0,0,0.0,0.0
83,2018,서울,동대문구,불법유턴,자전거,6.0,0.0,0,0,0.0,0.0
84,2018,서울,동대문구,과속,승용,4.0,0.0,0,0,0.0,0.0
85,2018,서울,동대문구,과속,이륜,1.0,0.0,0,0,0.0,0.0
86,2018,서울,동대문구,안전운전불이행,승용,552.0,0.0,0,0,5.0,0.91
87,2018,서울,동대문구,안전운전불이행,승합,73.0,0.0,0,0,0.0,0.0
88,2018,서울,동대문구,안전운전불이행,화물,109.0,0.0,0,9,3.0,2.75
89,2018,서울,동대문구,안전운전불이행,이륜,99.0,0.0,0,0,0.0,0.0
90,2018,서울,동대문구,안전운전불이행,원동기,22.0,0.0,0,0,0.0,0.0
