,year,구,기상상태,차량종류,발생건수,대형사고,중대사고-여객,중대사고-화물,사망자수,치사율
0,2018,강동구,맑음,승용,792,0,0,0,7,0.88
1,2018,강동구,맑음,승합,98,0,0,0,0,0.0
2,2018,강동구,맑음,화물,118,0,0,8,1,0.85
3,2018,강동구,맑음,특수,7,0,0,0,0,0.0
4,2018,강동구,맑음,이륜,83,0,0,0,0,0.0
5,2018,강동구,맑음,원동기,22,0,0,0,0,0.0
6,2018,강동구,맑음,자전거,60,0,0,0,0,0.0
7,2018,강동구,맑음,건설기계,13,0,0,0,2,15.38
8,2018,강동구,맑음,개인형이동수단(PM),2,0,0,0,0,0.0
9,2018,강동구,맑음,기타,44,0,0,0,0,0.0
10,2018,강동구,흐림,승용,46,0,0,0,0,0.0
11,2018,강동구,흐림,승합,7,0,0,0,1,14.29
12,2018,강동구,흐림,화물,6,0,0,0,0,0.0
13,2018,강동구,흐림,이륜,3,0,0,0,0,0.0
14,2018,강동구,흐림,원동기,1,0,0,0,0,0.0
15,2018,강동구,흐림,자전거,3,0,0,0,0,0.0
16,2018,강동구,흐림,기타,1,0,0,0,0,0.0
17,2018,강동구,비,승용,71,0,0,0,1,1.41
18,2018,강동구,비,승합,4,0,0,0,0,0.0
19,2018,강동구,비,화물,9,0,0,1,0,0.0
20,2018,강동구,비,이륜,4,0,0,0,0,0.0
21,2018,강동구,비,원동기,2,0,0,0,0,0.0
22,2018,강동구,비,자전거,3,0,0,0,0,0.0
23,2018,강동구,비,기타,4,0,0,0,0,0.0
24,2018,강동구,눈,승용,6,0,0,0,0,0.0
25,2018,강동구,눈,승합,2,0,0,0,0,0.0
26,2018,강동구,눈,화물,1,0,0,0,0,0.0
27,2018,강동구,눈,기타,1,0,0,0,0,0.0
28,2018,강동구,기타,승용,2,0,0,0,0,0.0
29,2018,강동구,기타,화물,1,0,0,0,0,0.0
30,2018,강동구,기타,기타,2,0,0,0,0,0.0
