년도,연령대,지자체,발생건수,사망자수
2018,20대,강남구,2,0
2018,20대,강동구,2,0
2018,20대,강북구,1,0
2018,20대,광진구,3,0
2018,20대,구로구,2,0
2018,20대,동대문구,2,0
2018,20대,동작구,1,0
2018,20대,마포구,2,0
2018,20대,서초구,1,0
2018,20대,성동구,2,0
2018,20대,성북구,2,0
2018,20대,영등포구,2,0
2018,20대,종로구,1,0
2018,20대,중랑구,1,0
2018,30대,강남구,1,0
2018,30대,관악구,1,0
2018,30대,광진구,1,0
2018,30대,노원구,1,0
2018,30대,성동구,1,0
2018,30대,성북구,1,0
2018,30대,은평구,1,0
2018,30대,중랑구,1,0
2018,40대,강서구,1,0
2018,40대,구로구,1,0
2018,40대,동대문구,3,0
2018,40대,마포구,1,0
2018,40대,영등포구,1,0
2018,40대,은평구,1,0
2018,40대,종로구,2,0
2018,40대,중랑구,2,0
2018,50대,강서구,1,0
2018,60대 이상,구로구,1,0
2018,60대 이상,도봉구,1,0
2018,60대 이상,마포구,1,0
2018,60대 이상,용산구,2,0
2019,20대,강남구,19,0
2019,20대,강서구,1,0
2019,20대,관악구,1,0
2019,20대,광진구,1,0
2019,20대,금천구,2,0
2019,20대,노원구,1,0
2019,20대,도봉구,2,0
2019,20대,동대문구,3,0
2019,20대,동작구,1,0
2019,20대,마포구,2,0
2019,20대,서대문구,3,0
2019,20대,서초구,7,0
2019,20대,성동구,2,0
2019,20대,성북구,1,0
2019,20대,송파구,3,0
2019,20대,양천구,1,0
2019,20대,영등포구,1,0
2019,20대,은평구,3,0
2019,20대,종로구,1,0
2019,20대,중구,1,0
2019,20대 미만,강남구,7,0
2019,20대 미만,강동구,1,0
2019,20대 미만,광진구,2,0
2019,20대 미만,노원구,1,0
2019,20대 미만,서초구,4,0
2019,20대 미만,송파구,2,0
2019,30대,강남구,8,0
2019,30대,강동구,1,0
2019,30대,강서구,1,0
2019,30대,관악구,1,0
2019,30대,광진구,4,0
2019,30대,구로구,2,0
2019,30대,서대문구,1,0
2019,30대,서초구,4,0
2019,30대,성동구,3,0
2019,30대,송파구,2,0
2019,30대,영등포구,3,0
2019,30대,용산구,1,0
2019,30대,은평구,2,0
2019,30대,중구,1,0
2019,30대,중랑구,2,0
2019,40대,강남구,1,0
2019,40대,강북구,1,0
2019,40대,금천구,1,0
2019,40대,노원구,1,0
2019,40대,도봉구,1,0
2019,40대,양천구,1,0
2019,40대,은평구,2,0
2019,40대,중랑구,2,0
2019,50대,강남구,1,0
2019,50대,강서구,1,0
2019,50대,광진구,2,0
2019,50대,구로구,1,0
2019,50대,금천구,1,0
2019,50대,마포구,1,0
2019,50대,성북구,1,0
2019,50대,영등포구,1,0
2019,60대 이상,강서구,1,0
2019,60대 이상,금천구,1,0
2019,60대 이상,마포구,1,1
2019,60대 이상,영등포구,1,0
2019,60대 이상,중랑구,1,0
2019,알수없음,서초구,1,0
2020,20대,강남구,47,0
2020,20대,강동구,3,0
2020,20대,강북구,1,0
2020,20대,강서구,3,0
2020,20대,관악구,14,0
2020,20대,광진구,12,0
2020,20대,구로구,5,0
2020,20대,금천구,3,0
2020,20대,노원구,3,0
2020,20대,도봉구,2,0
2020,20대,동대문구,3,0
2020,20대,동작구,8,0
2020,20대,마포구,19,0
2020,20대,서대문구,2,0
2020,20대,서초구,13,0
2020,20대,성동구,6,0
2020,20대,송파구,12,0
2020,20대,양천구,2,0
2020,20대,영등포구,5,0
2020,20대,용산구,1,0
2020,20대,종로구,2,0
2020,20대,중구,4,0
2020,20대 미만,강남구,13,0
2020,20대 미만,강동구,2,0
2020,20대 미만,강서구,2,0
2020,20대 미만,관악구,5,0
2020,20대 미만,광진구,5,0
2020,20대 미만,구로구,4,0
2020,20대 미만,금천구,1,0
2020,20대 미만,동대문구,2,0
2020,20대 미만,동작구,1,0
2020,20대 미만,마포구,2,0
2020,20대 미만,서대문구,2,0
2020,20대 미만,서초구,7,0
2020,20대 미만,성동구,2,0
2020,20대 미만,성북구,1,0
2020,20대 미만,송파구,9,0
2020,20대 미만,양천구,2,0
2020,20대 미만,영등포구,3,0
2020,20대 미만,용산구,1,0
2020,20대 미만,중구,1,0
2020,30대,강남구,20,0
2020,30대,강동구,3,0
2020,30대,강북구,1,0
2020,30대,강서구,3,0
2020,30대,관악구,2,0
2020,30대,광진구,3,0
2020,30대,구로구,2,0
2020,30대,도봉구,3,0
2020,30대,동대문구,2,0
2020,30대,동작구,2,0
2020,30대,마포구,9,0
2020,30대,서대문구,2,0
2020,30대,서초구,5,0
2020,30대,성동구,4,0
2020,30대,성북구,2,0
2020,30대,송파구,9,0
2020,30대,양천구,1,0
2020,30대,영등포구,1,0
