시도,시군구,구분,2017,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,2021,,,,,,,,,,,,,
,,,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명
합계,합계,사고건수,216335,143041,13426,27341,1054,13730,354,4157,5659,117,2476,450,160,4370,217148,145238,13526,27562,1178,15032,333,2246,4771,225,2427,398,169,4043,229600,151365,14221,28788,1223,18467,318,2113,5633,447,2542,444,203,3836,209654,136878,10463,27063,1177,18280,304,2674,5667,897,2438,367,219,3227,203130,132440,9923,26081,1228,18375,249,1974,5509,1735,2510,364,149,2593
,,사망자수,4185,2048,286,961,29,406,37,121,126,4,96,65,6,0,3781,1837,247,868,57,410,59,68,91,4,73,60,1,6,3349,1571,209,802,38,422,36,40,79,8,84,57,2,1,3081,1410,165,721,38,439,30,56,83,10,77,49,3,0,2916,1348,146,687,39,397,23,39,70,19,79,62,6,1
,,부상자수,322829,220358,22238,41157,1692,16720,376,4986,5932,124,3737,491,202,4816,323037,222226,21542,41636,1813,18621,330,2670,5041,238,3734,431,199,4556,341712,232408,22675,42960,1884,23584,331,2599,6020,473,3803,511,226,4238,306194,206840,15737,39655,1734,23673,343,3332,6150,985,3530,417,247,3551,291608,195686,14510,38052,1847,23846,279,2492,5999,1901,3599,394,170,2833
,종로구,사고건수,1190,777,93,76,1,109,,67,29,2,2,,4,30,1134,771,99,83,2,93,,34,21,3,2,,,26,1133,732,120,79,1,99,,38,19,1,5,,2,37,903,564,78,71,2,85,1,43,20,7,5,,1,26,778,485,61,62,3,102,1,23,19,4,2,,1,15
,,사망자수,13,10,0,1,0,1,,0,0,0,1,,0,0,6,2,2,1,0,1,,0,0,0,0,,,0,6,2,0,1,0,2,,0,1,0,0,,0,0,5,2,1,0,0,1,0,0,1,0,0,,0,0,6,1,1,2,0,1,0,1,0,0,0,,0,0
,,부상자수,1689,1177,144,87,1,132,,79,29,2,1,,5,32,1546,1091,133,112,2,114,,39,22,3,3,,,27,1559,1027,182,106,1,126,,46,18,1,9,,2,41,1224,800,106,98,3,102,1,50,23,8,6,,1,26,1050,708,74,73,6,118,1,27,20,5,2,,1,15
,중구,사고건수,1252,848,101,92,2,104,,38,12,,10,,2,43,1128,778,112,80,,72,1,24,14,,7,,4,36,1184,764,122,84,1,109,,37,23,2,12,,1,29,955,568,86,102,1,98,1,46,20,8,1,,4,20,854,533,72,78,1,92,,34,17,8,4,,,15
,,사망자수,4,1,1,1,0,1,,0,0,,0,,0,0,9,5,2,0,,1,0,0,1,,0,,0,0,5,1,2,1,0,0,,0,0,0,1,,0,0,6,3,1,0,0,2,0,0,0,0,0,,0,0,3,1,1,0,0,1,,0,0,0,0,,,0
,,부상자수,1684,1191,148,108,2,122,,43,12,,10,,2,46,1506,1086,148,88,,87,1,28,13,,13,,4,38,1615,1125,150,102,1,129,,40,25,2,11,,1,29,1248,772,110,119,2,129,1,58,21,9,1,,4,22,1156,752,85,96,1,131,,43,19,9,5,,,15
,용산구,사고건수,1337,972,76,78,5,100,,9,41,,2,,6,48,1330,1006,64,65,,103,,4,26,2,5,,2,53,1187,860,58,88,1,103,1,3,22,1,4,,,46,890,627,49,60,3,92,,3,18,4,6,1,3,24,1014,671,64,80,2,109,,1,48,6,4,,1,28
