,지자체,기상상태,발생건수
0,강동구,맑음,21
1,동대문구,맑음,29
2,동작구,맑음,33
3,마포구,맑음,66
4,서초구,맑음,70
5,성동구,맑음,39
6,성북구,맑음,13
7,영등포구,맑음,36
8,강북구,맑음,20
9,용산구,맑음,11
10,은평구,맑음,26
11,종로구,맑음,15
12,중랑구,맑음,30
13,강서구,맑음,32
14,관악구,맑음,28
15,광진구,맑음,52
16,구로구,맑음,27
17,노원구,맑음,26
18,도봉구,맑음,12
19,강남구,맑음,188
20,서대문구,맑음,19
21,송파구,맑음,90
22,양천구,맑음,13
23,중구,맑음,15
24,금천구,맑음,14
25,강동구,흐림,0
26,동대문구,흐림,3
27,동작구,흐림,1
28,마포구,흐림,6
29,서초구,흐림,5
30,성동구,흐림,0
31,성북구,흐림,0
32,영등포구,흐림,0
33,강북구,흐림,1
34,용산구,흐림,0
35,은평구,흐림,0
36,종로구,흐림,0
37,중랑구,흐림,2
38,강서구,흐림,2
39,관악구,흐림,1
40,광진구,흐림,1
41,구로구,흐림,1
42,노원구,흐림,1
43,도봉구,흐림,1
44,강남구,흐림,8
45,서대문구,흐림,3
46,송파구,흐림,0
47,양천구,흐림,1
48,중구,흐림,2
49,금천구,흐림,0
50,강동구,비,0
51,동대문구,비,2
52,동작구,비,0
53,마포구,비,1
54,서초구,비,2
55,성동구,비,0
56,성북구,비,1
57,영등포구,비,0
58,강북구,비,0
59,용산구,비,2
60,은평구,비,0
61,종로구,비,0
62,중랑구,비,0
63,강서구,비,0
64,관악구,비,2
65,광진구,비,3
66,구로구,비,0
67,노원구,비,2
68,도봉구,비,0
69,강남구,비,7
70,서대문구,비,1
71,송파구,비,3
72,양천구,비,1
73,중구,비,1
74,금천구,비,1
75,강동구,기타,0
76,동대문구,기타,0
77,동작구,기타,0
78,마포구,기타,0
79,서초구,기타,1
80,성동구,기타,0
81,성북구,기타,0
82,영등포구,기타,0
83,강북구,기타,0
84,용산구,기타,0
85,은평구,기타,0
86,종로구,기타,0
87,중랑구,기타,1
88,강서구,기타,0
89,관악구,기타,7
90,광진구,기타,0
91,구로구,기타,0
92,노원구,기타,0
93,도봉구,기타,0
94,강남구,기타,10
95,서대문구,기타,0
96,송파구,기타,3
97,양천구,기타,0
98,중구,기타,0
99,금천구,기타,0
100,강동구,눈,0
101,동대문구,눈,0
102,동작구,눈,0
103,마포구,눈,0
104,서초구,눈,0
105,성동구,눈,0
106,성북구,눈,0
107,영등포구,눈,0
108,강북구,눈,0
109,용산구,눈,0
110,은평구,눈,0
111,종로구,눈,0
112,중랑구,눈,0
113,강서구,눈,0
114,관악구,눈,0
115,광진구,눈,0
116,구로구,눈,0
117,노원구,눈,0
118,도봉구,눈,0
119,강남구,눈,1
120,서대문구,눈,0
121,송파구,눈,0
122,양천구,눈,0
123,중구,눈,0
124,금천구,눈,0
