,지자체,성별,발생건수
0,강동구,남성,16
1,동대문구,남성,26
2,동작구,남성,29
3,마포구,남성,52
4,서초구,남성,60
5,성동구,남성,20
6,성북구,남성,11
7,영등포구,남성,28
8,강북구,남성,18
9,용산구,남성,12
10,은평구,남성,21
11,종로구,남성,12
12,중랑구,남성,25
13,강서구,남성,25
14,관악구,남성,32
15,광진구,남성,40
16,구로구,남성,21
17,노원구,남성,22
18,도봉구,남성,9
19,강남구,남성,146
20,서대문구,남성,14
21,송파구,남성,61
22,양천구,남성,11
23,중구,남성,13
24,금천구,남성,13
25,강동구,여성,5
26,동대문구,여성,8
27,동작구,여성,5
28,마포구,여성,21
29,서초구,여성,17
30,성동구,여성,17
31,성북구,여성,2
32,영등포구,여성,8
33,강북구,여성,3
34,용산구,여성,1
35,은평구,여성,5
36,종로구,여성,2
37,중랑구,여성,8
38,강서구,여성,7
39,관악구,여성,6
40,광진구,여성,16
41,구로구,여성,7
42,노원구,여성,7
43,도봉구,여성,4
44,강남구,여성,67
45,서대문구,여성,9
46,송파구,여성,35
47,양천구,여성,4
48,중구,여성,5
49,금천구,여성,2
50,강동구,알수없음,0
51,동대문구,알수없음,0
52,동작구,알수없음,0
53,마포구,알수없음,0
54,서초구,알수없음,1
55,성동구,알수없음,2
56,성북구,알수없음,1
57,영등포구,알수없음,0
58,강북구,알수없음,0
59,용산구,알수없음,0
60,은평구,알수없음,0
61,종로구,알수없음,1
62,중랑구,알수없음,0
63,강서구,알수없음,2
64,관악구,알수없음,0
65,광진구,알수없음,0
66,구로구,알수없음,0
67,노원구,알수없음,0
68,도봉구,알수없음,0
69,강남구,알수없음,1
70,서대문구,알수없음,0
71,송파구,알수없음,0
72,양천구,알수없음,0
73,중구,알수없음,0
74,금천구,알수없음,0
