,지자체,연령대,발생건수
0,강동구,20대,7
1,동대문구,20대,14
2,동작구,20대,22
3,마포구,20대,42
4,서초구,20대,35
5,성동구,20대,17
6,성북구,20대,5
7,영등포구,20대,11
8,강북구,20대,11
9,용산구,20대,4
10,은평구,20대,5
11,종로구,20대,4
12,중랑구,20대,10
13,강서구,20대,10
14,관악구,20대,23
15,광진구,20대,26
16,구로구,20대,7
17,노원구,20대,13
18,도봉구,20대,4
19,강남구,20대,102
20,서대문구,20대,13
21,송파구,20대,37
22,양천구,20대,7
23,중구,20대,7
24,금천구,20대,6
25,강동구,30대,5
26,동대문구,30대,5
27,동작구,30대,7
28,마포구,30대,17
29,서초구,30대,14
30,성동구,30대,11
31,성북구,30대,3
32,영등포구,30대,7
33,강북구,30대,1
34,용산구,30대,5
35,은평구,30대,4
36,종로구,30대,2
37,중랑구,30대,9
38,강서구,30대,10
39,관악구,30대,6
40,광진구,30대,12
41,구로구,30대,6
42,노원구,30대,3
43,도봉구,30대,3
44,강남구,30대,54
45,서대문구,30대,5
46,송파구,30대,24
47,양천구,30대,1
48,중구,30대,5
49,금천구,30대,1
50,강동구,60대 이상,1
51,동대문구,60대 이상,3
52,동작구,60대 이상,1
53,마포구,60대 이상,2
54,서초구,60대 이상,2
55,성동구,60대 이상,1
56,성북구,60대 이상,0
57,영등포구,60대 이상,4
58,강북구,60대 이상,0
59,용산구,60대 이상,2
60,은평구,60대 이상,4
61,종로구,60대 이상,0
62,중랑구,60대 이상,3
63,강서구,60대 이상,2
64,관악구,60대 이상,1
65,광진구,60대 이상,0
66,구로구,60대 이상,3
67,노원구,60대 이상,1
68,도봉구,60대 이상,1
69,강남구,60대 이상,2
70,서대문구,60대 이상,0
71,송파구,60대 이상,3
72,양천구,60대 이상,2
73,중구,60대 이상,1
74,금천구,60대 이상,2
75,강동구,40대,4
76,동대문구,40대,8
77,동작구,40대,0
78,마포구,40대,5
79,서초구,40대,6
80,성동구,40대,3
81,성북구,40대,2
82,영등포구,40대,5
83,강북구,40대,4
84,용산구,40대,0
85,은평구,40대,6
86,종로구,40대,7
87,중랑구,40대,7
88,강서구,40대,2
89,관악구,40대,0
90,광진구,40대,4
91,구로구,40대,3
92,노원구,40대,3
93,도봉구,40대,3
94,강남구,40대,18
95,서대문구,40대,0
96,송파구,40대,6
97,양천구,40대,2
98,중구,40대,1
99,금천구,40대,4
100,강동구,50대,0
101,동대문구,50대,2
102,동작구,50대,0
103,마포구,50대,2
104,서초구,50대,2
105,성동구,50대,0
106,성북구,50대,1
107,영등포구,50대,3
108,강북구,50대,1
109,용산구,50대,1
110,은평구,50대,0
111,종로구,50대,1
112,중랑구,50대,3
113,강서구,50대,4
114,관악구,50대,1
115,광진구,50대,3
116,구로구,50대,4
117,노원구,50대,1
118,도봉구,50대,1
119,강남구,50대,5
120,서대문구,50대,1
121,송파구,50대,6
122,양천구,50대,1
123,중구,50대,1
124,금천구,50대,1
125,강동구,20대 미만,4
126,동대문구,20대 미만,2
127,동작구,20대 미만,4
128,마포구,20대 미만,5
129,서초구,20대 미만,18
130,성동구,20대 미만,5
131,성북구,20대 미만,2
132,영등포구,20대 미만,6
133,강북구,20대 미만,4
134,용산구,20대 미만,1
135,은평구,20대 미만,4
136,종로구,20대 미만,0
137,중랑구,20대 미만,1
138,강서구,20대 미만,4
139,관악구,20대 미만,7
140,광진구,20대 미만,11
141,구로구,20대 미만,5
142,노원구,20대 미만,8
143,도봉구,20대 미만,1
144,강남구,20대 미만,32
145,서대문구,20대 미만,4
146,송파구,20대 미만,20
147,양천구,20대 미만,2
148,중구,20대 미만,3
149,금천구,20대 미만,1
150,강동구,알수없음,0
151,동대문구,알수없음,0
152,동작구,알수없음,0
153,마포구,알수없음,0
154,서초구,알수없음,1
155,성동구,알수없음,2
156,성북구,알수없음,1
157,영등포구,알수없음,0
158,강북구,알수없음,0
159,용산구,알수없음,0
160,은평구,알수없음,0
161,종로구,알수없음,1
162,중랑구,알수없음,0
163,강서구,알수없음,2
164,관악구,알수없음,0
165,광진구,알수없음,0
166,구로구,알수없음,0
167,노원구,알수없음,0
168,도봉구,알수없음,0
169,강남구,알수없음,1
170,서대문구,알수없음,0
171,송파구,알수없음,0
172,양천구,알수없음,0
173,중구,알수없음,0
174,금천구,알수없음,0
