,Unnamed: 0,년도,시도,지자체,연령대,차량종류,발생건수,대형사고,중대사고-여객(건),중대사고-화물(건),사망자수,치사율(%)
0,1,2018,서울,강남구,20대 미만,승용,9,0,0,0,0,0.0
1,2,2018,서울,강남구,20대 미만,이륜,10,0,0,0,0,0.0
2,3,2018,서울,강남구,20대 미만,원동기,1,0,0,0,0,0.0
3,4,2018,서울,강남구,20대 미만,자전거,15,0,0,0,0,0.0
4,6,2018,서울,강남구,20대,승용,321,0,0,0,1,0.31
5,7,2018,서울,강남구,20대,승합,5,0,0,0,0,0.0
6,8,2018,서울,강남구,20대,화물,10,0,0,0,0,0.0
7,9,2018,서울,강남구,20대,특수,2,0,0,0,0,0.0
8,10,2018,서울,강남구,20대,이륜,54,0,0,0,1,1.85
9,11,2018,서울,강남구,20대,원동기,3,0,0,0,0,0.0
10,12,2018,서울,강남구,20대,자전거,7,0,0,0,0,0.0
11,13,2018,서울,강남구,20대,건설기계,1,0,0,0,0,0.0
12,14,2018,서울,강남구,20대,개인형이동수단(PM),2,0,0,0,0,0.0
13,16,2018,서울,강남구,30대,승용,572,0,0,0,2,0.35
14,17,2018,서울,강남구,30대,승합,13,0,0,0,0,0.0
15,18,2018,서울,강남구,30대,화물,31,0,0,4,0,0.0
16,19,2018,서울,강남구,30대,특수,3,0,0,0,0,0.0
17,20,2018,서울,강남구,30대,이륜,54,0,0,0,0,0.0
18,21,2018,서울,강남구,30대,원동기,5,0,0,0,0,0.0
19,22,2018,서울,강남구,30대,자전거,11,0,0,0,0,0.0
20,23,2018,서울,강남구,30대,건설기계,1,0,0,0,0,0.0
21,24,2018,서울,강남구,30대,개인형이동수단(PM),1,0,0,0,0,0.0
22,25,2018,서울,강남구,30대,기타,1,0,0,0,0,0.0
23,27,2018,서울,강남구,40대,승용,506,0,0,0,1,0.2
24,28,2018,서울,강남구,40대,승합,25,0,0,0,1,4.0
25,29,2018,서울,강남구,40대,화물,33,0,0,1,1,3.03
26,30,2018,서울,강남구,40대,특수,2,0,0,0,0,0.0
27,31,2018,서울,강남구,40대,이륜,29,0,0,0,0,0.0
28,32,2018,서울,강남구,40대,원동기,3,0,0,0,0,0.0
29,33,2018,서울,강남구,40대,자전거,8,0,0,0,0,0.0
30,34,2018,서울,강남구,40대,건설기계,2,0,0,0,0,0.0
31,36,2018,서울,강남구,50대,승용,591,0,0,0,2,0.34
32,37,2018,서울,강남구,50대,승합,50,0,0,0,1,2.0
33,38,2018,서울,강남구,50대,화물,56,0,0,5,1,1.79
34,39,2018,서울,강남구,50대,이륜,34,0,0,0,1,2.94
35,40,2018,서울,강남구,50대,원동기,1,0,0,0,0,0.0
36,41,2018,서울,강남구,50대,자전거,8,0,0,0,0,0.0
37,42,2018,서울,강남구,50대,건설기계,4,0,0,0,0,0.0
38,43,2018,서울,강남구,50대,기타,1,0,0,0,0,0.0
39,45,2018,서울,강남구,60대 이상,승용,825,1,1,0,5,0.61
40,46,2018,서울,강남구,60대 이상,승합,22,0,0,0,1,4.55
41,47,2018,서울,강남구,60대 이상,화물,25,0,0,1,1,4.0
42,48,2018,서울,강남구,60대 이상,이륜,13,0,0,0,0,0.0
43,49,2018,서울,강남구,60대 이상,원동기,2,0,0,0,0,0.0
44,50,2018,서울,강남구,60대 이상,자전거,9,0,0,0,1,11.11
45,51,2018,서울,강남구,60대 이상,건설기계,3,0,0,0,0,0.0
46,52,2018,서울,강남구,60대 이상,기타,1,0,0,0,0,0.0
47,54,2018,서울,강남구,알수없음,승용,1,0,0,0,0,0.0
48,55,2018,서울,강남구,알수없음,자전거,1,0,0,0,0,0.0
49,56,2018,서울,강남구,알수없음,기타,72,0,0,0,0,0.0
50,1,2018,서울,도봉구,20대 미만,승용,3,0,0,0,0,0.0
51,2,2018,서울,도봉구,20대 미만,화물,1,0,0,0,0,0.0
52,3,2018,서울,도봉구,20대 미만,이륜,10,0,0,0,0,0.0
53,4,2018,서울,도봉구,20대 미만,원동기,3,0,0,0,0,0.0
54,5,2018,서울,도봉구,20대 미만,자전거,10,0,0,0,0,0.0
55,7,2018,서울,도봉구,20대,승용,46,0,0,0,0,0.0
56,8,2018,서울,도봉구,20대,승합,1,0,0,0,0,0.0
57,9,2018,서울,도봉구,20대,화물,4,0,0,0,0,0.0
58,10,2018,서울,도봉구,20대,이륜,27,0,0,0,0,0.0
59,11,2018,서울,도봉구,20대,원동기,4,0,0,0,0,0.0
60,12,2018,서울,도봉구,20대,자전거,4,0,0,0,0,0.0
